Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
320,"Butler, Darius",IND,DB,29.3,10.3,0,6.4,1.9,0.2,0.1,0,44.9
321,"McClain, Terrell",WAS,DL,27,25.9,1.7,1.3,0,1.9,0,0,44.8
322,"Latham, Darius",OAK,DL,32.2,11.8,2.6,3.4,0,0.7,0,0,44.8
323,"Davis, Cody",LAR,DB,28.2,14.4,0.4,6,1,0.4,0.4,0,44.5
324,"Rankins, Sheldon",NOR,DL,27,15.7,6.1,0.8,0.3,1.6,0.3,0,44.2
325,"Branch, Alan",NEP,DL,24.1,30,1.8,2.1,0,0.5,0.5,0,44.1
326,"Kendricks, Mychal",PHI,LB,33.6,13.1,0.2,3.3,0.2,0,0,0,44.1
327,"Kazee, Damontae",ATL,DB,29.1,12.2,0.5,7.4,0.4,0,0,0,44
328,"Quinn, Robert",LAR,LB,40,4,0,1.8,0,0,0,0,43.8
329,"Smith, Sean",OAK,DB,28.7,8.4,0,8.2,1.2,0,0,0,43.6
330,"Morgan, Derrick",TEN,LB,26.2,12.4,8.2,2.4,0,0.2,0.2,0.2,43.3
331,"Heeney, Ben",OAK,LB,33.1,12.5,2.3,0.2,0,1,0.4,0,43.3
